@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE Class {Angry, Calm, Happy, Sad}
@DATA
3.684E1,2.403E-1,8.069E-3,1.598E3,4.974E-3,2.075E-1,6.268E-1,8.601E1,1.008E2,1.232E3,-1.065E2,-2.248E-3,1.149E0,1.294E0,-8.534E-1,-4.599E-1,-1.144E0,4.563E-1,-6.3E-1,-3.386E-1,1.814E-1,5.474E-1,-9.327E-1,-7.994E-1,3.153E-1,-1.277E-1,3.288E-2,-6.765E-2,6.562E-2,1.026E-2,-2.647E-2,-1.05E-2,0E0,3.146E1,2.139E-1,1.311E-2,2.355E2,4.145E-3,1.527E-1,3.772E-2,6.047E1,2.762E1,3.046E2,3.394E1,6.812E0,6.135E0,4.785E0,3.918E0,3.031E0,2.729E0,2.323E0,2.165E0,2.386E0,2.596E0,2.488E0,2.089E0,2.434E-1,3.397E-1,2.484E-1,2.156E-1,2.028E-1,2.02E-1,1.79E-1,1.57E-1,1.501E-1,0E0,Angry
3.113E1,2.431E-1,5.79E-3,1.539E3,5.075E-3,2.261E-1,5.158E-1,8.813E1,1.914E2,1.508E3,-8.779E1,-3.362E-1,3.24E0,1.956E0,1.196E0,1.964E0,1.001E0,-2.065E-1,-1.005E-1,-7.964E-1,6.276E-2,-6.779E-1,1.309E-1,-8.35E-1,1.458E-1,-1.939E-1,-3.034E-2,-7.445E-2,-4.954E-2,-4.42E-2,5.819E-3,6.1E-2,0E0,1.361E1,1.359E-1,6.215E-3,1.687E2,2.419E-3,9.495E-2,5.719E-2,2.753E1,2.417E1,2.904E2,4.032E1,2.174E0,3.249E0,1.901E0,2.269E0,1.617E0,1.811E0,1.609E0,1.552E0,1.661E0,1.51E0,1.438E0,1.375E0,9.781E-2,2.297E-1,1.687E-1,1.313E-1,1.162E-1,1.02E-1,8.661E-2,8.853E-2,8.088E-2,0E0,Angry
3.341E1,3.09E-1,2.841E-3,1.575E3,4.099E-3,1.834E-1,5.411E-1,9.765E1,2E2,9.538E2,-9.572E1,-1.148E0,7.132E0,8.764E-1,1.815E0,1.031E0,7.491E-1,9.331E-1,1.488E-2,-4.979E-1,2.098E-1,1.139E0,-1.586E-1,-7.965E-1,8.762E-2,-4.234E-1,-8.702E-2,-1.173E-1,-2.48E-3,3.181E-2,3.137E-2,-1.16E-2,0E0,1.508E1,1.652E-1,2.472E-3,1.803E2,1.381E-3,5.116E-2,3.368E-2,2.959E1,9.734E0,4.984E1,6.106E1,2.6E0,3.748E0,2.632E0,2.198E0,2.17E0,1.792E0,1.477E0,1.525E0,1.495E0,1.375E0,1.409E0,1.355E0,1.109E-1,1.992E-1,1.579E-1,1.784E-1,1.373E-1,1.159E-1,1.061E-1,9.756E-2,9.601E-2,0E0,Angry
2.889E1,2.497E-1,4.029E-4,1.602E3,1.525E-3,6.651E-2,5.289E-1,8.143E1,2.131E2,1.198E2,-1.141E2,-1.191E0,4.212E0,2.303E0,1.474E0,2.344E0,2.93E-1,1.676E0,-8.594E-1,-7.758E-1,8.668E-1,-7.367E-1,5.487E-2,-8.524E-1,4.066E-1,-4.756E-1,3.438E-2,-1.535E-1,-7.835E-2,2.899E-2,6.776E-3,-3.636E-2,0E0,1.282E1,1.185E-1,2.832E-4,1.653E2,4.475E-4,1.735E-2,3.771E-2,2.794E1,6.501E0,2.908E1,3.564E1,3.732E0,2.126E0,1.824E0,2.192E0,2.005E0,1.813E0,1.798E0,1.616E0,1.592E0,1.651E0,1.737E0,1.361E0,8.115E-2,1.719E-1,1.71E-1,1.697E-1,1.392E-1,1.246E-1,1.035E-1,9.925E-2,9.104E-2,0E0,Angry
2.971E1,2.438E-1,5.976E-3,1.527E3,5.073E-3,2.264E-1,6.466E-1,8.669E1,1.875E2,1.471E3,-8.732E1,-1.702E-1,5.132E0,3.573E0,-4.186E-1,1.516E0,1.424E0,-9.947E-2,-8.174E-1,-8.529E-1,-4.139E-1,-1.947E-1,-8.127E-1,-8.419E-1,1.566E-1,-1.745E-1,-1.31E-1,-1.003E-1,-8.217E-2,-3.824E-2,-9.899E-3,4.25E-2,0E0,1.456E1,1.472E-1,7.274E-3,1.825E2,2.136E-3,7.635E-2,5.333E-2,3.068E1,0E0,9.528E1,4.764E1,2.399E0,2.415E0,1.722E0,1.783E0,1.741E0,1.588E0,1.514E0,1.431E0,1.382E0,1.316E0,1.3E0,1.272E0,1.09E-1,2.324E-1,1.36E-1,1.006E-1,1.097E-1,9.098E-2,7.984E-2,8.145E-2,7.845E-2,0E0,Angry
2.901E1,2.161E-1,4.735E-3,1.707E3,6.688E-3,2.888E-1,5.673E-1,7.976E1,2.2E2,2.316E3,-7.883E1,9.194E-2,3.838E-1,-3.556E-1,-1.03E0,7.983E-1,-3.08E-1,-2.206E-1,-3.201E-1,-1.945E0,-9.748E-1,1.854E-1,2.432E-1,-8.674E-1,3.425E-1,-1.095E-1,-9.502E-2,1.292E-4,-1.341E-2,-9.423E-3,3.924E-2,2.467E-2,0E0,8.488E0,8.005E-2,3.629E-3,1.503E2,1.675E-3,6.251E-2,4.866E-2,1.972E1,3.647E0,3.973E2,3.578E1,2.045E0,2.28E0,2.008E0,2.221E0,1.826E0,2.043E0,1.797E0,1.769E0,2.173E0,2.06E0,1.753E0,1.633E0,6.206E-2,1.868E-1,1.63E-1,1.323E-1,1.226E-1,1.131E-1,1.022E-1,1.013E-1,9.493E-2,0E0,Angry
4.593E1,2.649E-1,2.069E-4,1.644E3,1.135E-3,4.861E-2,5.628E-1,1.009E2,2.163E2,7.326E1,-1.244E2,-4.163E0,-4.347E0,4.228E-1,-1.555E0,1.169E-1,-1.569E0,-2.59E0,-2.016E0,-2.29E0,-2.223E0,1.71E-1,-1.36E-1,-7.9E-1,7.258E-1,-4.269E-1,3.793E-1,-2.357E-1,1.173E-1,-4.491E-2,9.194E-2,5.437E-3,0E0,1.292E1,8.971E-2,2.887E-4,1.821E2,6.164E-4,2.534E-2,4.834E-2,2.637E1,7.701E0,2.768E1,5.147E1,3.959E0,3.199E0,2.315E0,2.528E0,2.49E0,2.227E0,1.984E0,1.986E0,2.364E0,2.012E0,1.695E0,1.706E0,1.074E-1,1.53E-1,1.82E-1,1.555E-1,1.868E-1,1.611E-1,1.51E-1,1.349E-1,1.288E-1,0E0,Angry
2.892E1,2.133E-1,4.788E-3,1.591E3,5.913E-3,2.54E-1,5.259E-1,7.618E1,2.164E2,1.885E3,-8.415E1,1.792E-1,-5.441E-1,3.355E0,-5.77E-1,1.533E0,1.84E-2,-1.783E-1,2.073E-1,-2.872E-1,-2.743E-1,-1.533E-1,-8.834E-1,-8.756E-1,5.339E-1,-1.958E-1,-1.415E-1,-4.721E-2,-4.49E-2,-4.515E-2,4.358E-2,1.825E-2,0E0,1.126E1,9.385E-2,3.918E-3,1.62E2,1.91E-3,7.786E-2,5.702E-2,2.378E1,1.257E1,4.509E2,5.316E1,3.461E0,2.418E0,2.033E0,2.111E0,1.816E0,1.71E0,1.509E0,1.633E0,1.867E0,1.58E0,1.638E0,1.509E0,7.996E-2,2.094E-1,2.236E-1,1.502E-1,1.459E-1,1.238E-1,1.006E-1,8.548E-2,8.539E-2,0E0,Angry
3.362E1,2.553E-1,7.613E-3,1.554E3,5.659E-3,2.507E-1,5.33E-1,8.889E1,1.859E2,2.003E3,-8.87E1,-1.414E0,3.364E0,1.273E0,-1.299E-1,9.03E-1,8.303E-1,-3.909E-1,4.913E-1,-6.057E-1,-3.606E-1,-9.88E-1,-8.633E-1,-8.138E-1,2.563E-1,-2.726E-1,-4.362E-2,-7.449E-2,-5.825E-2,-7.986E-2,-6.532E-3,6.94E-2,0E0,2.143E1,1.756E-1,7.15E-3,1.744E2,2.746E-3,1.083E-1,6.71E-2,4.127E1,3.653E1,5.966E2,4.13E1,3.443E0,3.515E0,2.059E0,2.696E0,2.311E0,1.867E0,1.636E0,1.981E0,1.606E0,1.519E0,1.59E0,1.579E0,1.618E-1,2.634E-1,1.812E-1,1.53E-1,1.298E-1,1.305E-1,1.036E-1,9.758E-2,1.092E-1,0E0,Angry
2.901E1,2.367E-1,2.855E-3,1.605E3,3.792E-3,1.623E-1,6.086E-1,8.259E1,1.949E2,7.297E2,-1.001E2,-6.577E-1,3.188E0,2.749E0,8.724E-1,1.467E0,1.105E0,-1.077E-1,-4.568E-1,-7.354E-1,4.685E-1,-3.984E-1,-2.581E-1,-8.39E-1,1.911E-1,-2.801E-1,4.174E-2,-1.481E-1,-2.176E-2,-5.714E-2,3.723E-2,-3.741E-3,0E0,1.637E1,1.675E-1,3.805E-3,1.945E2,1.552E-3,5.982E-2,4.875E-2,3.58E1,4.697E0,8.255E1,4.401E1,3.533E0,3.309E0,3.086E0,2.581E0,2.441E0,2.411E0,1.913E0,1.898E0,2.038E0,2.074E0,1.866E0,1.612E0,1.213E-1,2.532E-1,2.019E-1,1.585E-1,1.377E-1,1.348E-1,1.34E-1,1.371E-1,1.712E-1,0E0,Angry
